Type,SKU,Grouped products,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Meta: qty_required,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
grouped,T8PLRZ0,"95380-06600-00, 682-42727-00-00, 69G-42726-00-00, 92990-06600-00, 68T-42725-10-00, 6R3-12582-00-00, 97780-60520-00, 68F-86129-00-00, 92990-06100-00, 65W-42717-00-00, 68T-42717-00-00, 97095-06012-00, 97095-06010-00, 68T-12535-10-00, 6E5-12481-00-00, 90480-06M19-00, 97880-06030-00, 90338-06M20-00, 68T-42738-00-4D, 6H3-44391-01-00, 68F-85119-00-00, 68T-42716-00-00, 6R3-12583-00-00, 90465-11M10-00, 92995-06600-00, 65W-84342-00-00, 68T-42710-00-4D, 68T-12572-00-00, 68T-42771-00-00, 90480-21M82-00, 6R3-12581-00-00, 90447-13M00-00, 68T-42801-00-00, 90109-06M81-00, 68T-42741-00-00",BOTTOM COWLING,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,,,"OEM Parts, PWC Parts & Supplies, PWC Parts & Supplies > Outboard Motors ",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images_small/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42710-00-4D,,BOTTOM COWLING ASSY,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,0.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68F-85119-00-00,,BOLT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,787.50,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90480-21M82-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,630.00,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68F-86129-00-00,,COLLAR,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,787.50,4,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42716-00-00,,"RUBBER, SEAL 1",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,2287.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42801-00-00,,COWLING CLAMP COMP.,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,6277.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,97095-06012-00,,BOLT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,748.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,92995-06600-00,,WASHER,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,375.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,6H3-44391-01-00,,"NIPPLE, HOSE",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,675.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,682-42727-00-00,,GROMMET,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,300.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42738-00-4D,,"PLATE, FITTING",1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,5347.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,90109-06M81-00,,BOLT,1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,285.00,2,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,68T-42725-10-00,,GROMMET (OPT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,1957.50,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
simple,69G-42726-00-00,,GROMMET (FLUSHING KIT),1,0,hidden,,,,,taxable,,1,,,0,0,,,,,1,,,735.00,1,"OEM Parts, PWC Parts & Supplies",,,https://images.imagessite.com/OEM_IMAGES/yamaha_ob_images/Y01T8PLHZ16.gif,,,,,,,,0,Year Model, 2001,1,1,Model OEM,T8PLRZ,1,1,Brands OEM,Yamaha,1,1
